client_id,first_name,last_name,gender,birth_date,age,city,marital_status,dependants,employment_type,monthly_salary,bank_account,account_open_date,phone,email
37,Meri,Karapetyan,F,1987-09-24,39,Gyumri,MARRIED,0,SELF_EMPLOYED,400000,41473195,2020-09-06,+374 44 452161,meri.karapetyan37@yahoo.com
38,Gor,Mkrtchyan,M,1995-12-28,31,Hrazdan,MARRIED,1,EMPLOYED,420000,65804273,2018-09-21,+374 17 316881,gor.mkrtchyan38@yandex.ru
39,Armine,Baghdasaryan,F,1968-07-13,58,Abovyan,MARRIED,3,EMPLOYED,700000,66240084,2018-01-25,+374 78 883826,armine.baghdasaryan39@mail.ru
40,Karine,Abrahamyan,F,2003-07-19,23,Gavar,DIVORCED,2,EMPLOYED,550000,93517915,2022-07-15,+374 78 128276,karine.abrahamyan40@yandex.ru
41,Hayk,Muradyan,M,1975-04-04,51,Vagharshapat,MARRIED,1,EMPLOYED,250000,55298556,2020-12-01,+374 58 391773,hayk.muradyan41@yandex.ru
42,Nare,Martirosyan,F,1970-01-27,56,Yerevan,MARRIED,2,EMPLOYED,570000,43189803,2020-07-07,+374 35 979995,nare.martirosyan42@gmail.com
43,Samvel,Mkrtchyan,M,1997-10-16,29,Hrazdan,SINGLE,2,EMPLOYED,430000,91503378,2023-03-20,+374 24 915573,samvel.mkrtchyan43@mail.ru
44,Lena,Arsenyan,F,1985-10-22,41,Vagharshapat,SINGLE,3,EMPLOYED,590000,94187049,2022-06-13,+374 41 206851,lena.arsenyan44@yahoo.com
45,Grigor,Petrosyan,M,1977-12-05,49,Hrazdan,SINGLE,1,EMPLOYED,590000,66379329,2018-10-10,+374 72 210665,grigor.petrosyan45@yandex.ru
46,Kristine,Baghdasaryan,F,1993-09-25,33,Dilijan,SINGLE,1,EMPLOYED,480000,42949803,2023-06-04,+374 21 392477,kristine.baghdasaryan46@yandex.ru
47,Levon,Arsenyan,M,1980-06-21,46,Vanadzor,MARRIED,2,EMPLOYED,230000,57623800,2023-07-18,+374 43 456871,levon.arsenyan47@yahoo.com
48,Marine,Hakobyan,F,1992-02-13,34,Vagharshapat,MARRIED,1,EMPLOYED,450000,96691619,2022-07-23,+374 72 569945,marine.hakobyan48@gmail.com
49,Narek,Karapetyan,M,1989-06-06,37,Hrazdan,MARRIED,1,EMPLOYED,590000,83871890,2023-04-23,+374 52 468900,narek.karapetyan49@yandex.ru
50,Tatevik,Abrahamyan,F,1992-06-10,34,Gavar,SINGLE,0,EMPLOYED,330000,89133014,2020-01-29,+374 77 725780,tatevik.abrahamyan50@yahoo.com
51,Artur,Stepanyan,M,1993-06-04,33,Yerevan,WIDOWED,0,EMPLOYED,210000,84270583,2023-12-28,+374 47 831295,artur.stepanyan51@mail.ru
52,Lena,Hakobyan,F,1974-09-03,52,Yerevan,SINGLE,0,EMPLOYED,660000,74119726,2021-10-27,+374 24 962050,lena.hakobyan52@gmail.com
53,Narine,Sargsyan,F,2001-03-19,25,Vagharshapat,SINGLE,0,EMPLOYED,360000,65857931,2021-05-29,+374 87 725084,narine.sargsyan53@mail.ru
54,Kristine,Galstyan,F,1967-08-08,59,Gyumri,DIVORCED,1,EMPLOYED,520000,37888820,2018-09-04,+374 90 321275,kristine.galstyan54@yahoo.com
55,Vardan,Karapetyan,M,2000-03-21,26,Dilijan,MARRIED,1,EMPLOYED,200000,14380847,2022-08-01,+374 39 402099,vardan.karapetyan55@yahoo.com
56,Nare,Ghazaryan,F,1988-11-16,38,Vagharshapat,MARRIED,0,EMPLOYED,410000,45652586,2022-10-08,+374 28 174878,nare.ghazaryan56@gmail.com
57,Narek,Khachatryan,M,1968-05-27,58,Abovyan,MARRIED,1,SELF_EMPLOYED,380000,46540265,2019-05-25,+374 74 666211,narek.khachatryan57@yandex.ru
58,Nare,Khachatryan,F,1977-06-15,49,Dilijan,MARRIED,0,EMPLOYED,460000,12784407,2018-04-16,+374 96 961322,nare.khachatryan58@yahoo.com
59,Vardan,Martirosyan,M,1976-05-22,50,Gavar,WIDOWED,1,EMPLOYED,390000,73083727,2022-11-21,+374 54 528184,vardan.martirosyan59@yahoo.com
60,Lena,Hovhannisyan,F,1973-05-28,53,Hrazdan,SINGLE,1,EMPLOYED,620000,25558733,2018-05-31,+374 61 639593,lena.hovhannisyan60@gmail.com
61,Anahit,Petrosyan,F,1981-11-15,45,Vagharshapat,SINGLE,2,EMPLOYED,720000,27584297,2022-12-16,+374 46 559398,anahit.petrosyan61@yandex.ru
62,Davit,Muradyan,M,1989-12-30,37,Sevan,MARRIED,1,EMPLOYED,370000,40158811,2021-06-26,+374 24 583863,davit.muradyan62@gmail.com
63,Ashot,Baghdasaryan,M,1987-08-01,39,Sevan,SINGLE,0,EMPLOYED,710000,35583290,2023-04-19,+374 86 632929,ashot.baghdasaryan63@mail.ru
64,Vahan,Asatryan,M,1972-05-16,54,Dilijan,MARRIED,2,EMPLOYED,200000,98575748,2021-03-04,+374 72 255813,vahan.asatryan64@yandex.ru
65,Mariam,Avagyan,F,1970-07-13,56,Vagharshapat,MARRIED,2,EMPLOYED,680000,41348220,2021-08-11,+374 62 145767,mariam.avagyan65@yahoo.com
66,Gohar,Danielyan,F,1962-09-11,64,Dilijan,SINGLE,1,RETIRED,80000,23470708,2019-06-02,+374 66 204555,gohar.danielyan66@yandex.ru
67,Gor,Asatryan,M,2006-02-08,20,Hrazdan,MARRIED,0,STUDENT,110000,63349308,2020-12-21,+374 93 184216,gor.asatryan67@yahoo.com
68,Lusine,Muradyan,F,1973-10-05,53,Abovyan,WIDOWED,0,SELF_EMPLOYED,170000,22130508,2018-10-08,+374 65 203225,lusine.muradyan68@gmail.com
69,Sona,Baghdasaryan,F,2003-01-24,23,Hrazdan,MARRIED,0,EMPLOYED,540000,42775624,2018-08-18,+374 77 532067,sona.baghdasaryan69@mail.ru
70,Vardan,Sargsyan,M,1980-11-13,46,Vanadzor,SINGLE,3,EMPLOYED,450000,95618110,2023-08-01,+374 42 581894,vardan.sargsyan70@yahoo.com
71,Levon,Stepanyan,M,1994-02-07,32,Abovyan,MARRIED,3,SELF_EMPLOYED,380000,66949781,2021-11-16,+374 98 362246,levon.stepanyan71@yandex.ru
72,Lilit,Danielyan,F,2007-05-02,19,Dilijan,SINGLE,0,STUDENT,100000,49625201,2022-01-10,+374 12 970357,lilit.danielyan72@yandex.ru
73,Anna,Arsenyan,F,2008-11-06,18,Abovyan,MARRIED,0,STUDENT,150000,40885967,2023-07-28,+374 87 940886,anna.arsenyan73@yahoo.com
74,Artur,Khachatryan,M,1996-11-17,30,Gavar,SINGLE,1,EMPLOYED,300000,58970845,2018-06-11,+374 26 194511,artur.khachatryan74@yahoo.com
75,Anahit,Hovhannisyan,F,1970-07-07,56,Vanadzor,SINGLE,3,EMPLOYED,760000,74672520,2023-08-18,+374 47 882824,anahit.hovhannisyan75@yahoo.com
76,Levon,Sargsyan,M,1990-12-13,36,Kapan,SINGLE,0,EMPLOYED,620000,82017516,2022-02-07,+374 25 576877,levon.sargsyan76@yahoo.com
77,Armine,Danielyan,F,1981-02-25,45,Dilijan,DIVORCED,1,SELF_EMPLOYED,500000,85350823,2020-08-15,+374 51 739717,armine.danielyan77@mail.ru
78,Levon,Baghdasaryan,M,1978-03-01,48,Abovyan,WIDOWED,3,EMPLOYED,350000,25585427,2018-07-05,+374 22 346205,levon.baghdasaryan78@mail.ru
79,Kristine,Manukyan,F,1970-08-03,56,Gyumri,MARRIED,2,SELF_EMPLOYED,460000,92631441,2019-09-25,+374 62 393328,kristine.manukyan79@gmail.com
80,Lilit,Galstyan,F,1989-07-05,37,Hrazdan,SINGLE,1,EMPLOYED,300000,47028180,2022-02-13,+374 34 228093,lilit.galstyan80@yandex.ru
81,Artur,Muradyan,M,2003-01-26,23,Dilijan,SINGLE,3,EMPLOYED,550000,84384510,2020-09-24,+374 36 714867,artur.muradyan81@mail.ru
82,Suren,Mkrtchyan,M,1966-01-02,60,Sevan,SINGLE,3,SELF_EMPLOYED,300000,33420607,2019-08-16,+374 24 793169,suren.mkrtchyan82@gmail.com
83,Davit,Manukyan,M,1989-10-29,37,Yerevan,SINGLE,0,SELF_EMPLOYED,320000,66500369,2018-03-06,+374 77 219169,davit.manukyan83@gmail.com
84,Kristine,Manukyan,F,1998-08-20,28,Yerevan,MARRIED,3,EMPLOYED,730000,98436473,2020-06-26,+374 76 416282,kristine.manukyan84@yandex.ru
85,Armen,Martirosyan,M,1977-12-18,49,Gavar,SINGLE,2,SELF_EMPLOYED,210000,20843514,2023-07-02,+374 51 737846,armen.martirosyan85@mail.ru
86,Gor,Abrahamyan,M,1967-10-08,59,Sevan,SINGLE,3,EMPLOYED,540000,77853916,2022-04-10,+374 87 551096,gor.abrahamyan86@gmail.com
87,Vahagn,Gevorgyan,M,1990-07-31,36,Gyumri,SINGLE,1,EMPLOYED,560000,51946203,2023-02-01,+374 95 367271,vahagn.gevorgyan87@yahoo.com
88,Ashot,Sargsyan,M,1999-02-17,27,Hrazdan,MARRIED,2,EMPLOYED,650000,84674816,2019-01-31,+374 17 714953,ashot.sargsyan88@yahoo.com
89,Erik,Manukyan,M,2002-01-27,24,Hrazdan,SINGLE,0,STUDENT,90000,78103759,2021-07-03,+374 37 262246,erik.manukyan89@yandex.ru
90,Tigran,Manukyan,M,1981-02-28,45,Kapan,MARRIED,1,SELF_EMPLOYED,550000,93446356,2021-02-15,+374 88 807764,tigran.manukyan90@gmail.com
91,Anna,Hovhannisyan,F,1985-06-23,41,Vanadzor,MARRIED,0,EMPLOYED,570000,63792364,2018-01-26,+374 18 248766,anna.hovhannisyan91@gmail.com
92,Ruben,Gevorgyan,M,1975-06-24,51,Hrazdan,MARRIED,1,EMPLOYED,370000,86181117,2022-02-24,+374 86 189083,ruben.gevorgyan92@gmail.com
93,Vardan,Khachatryan,M,1999-05-20,27,Gavar,MARRIED,1,EMPLOYED,660000,38933176,2022-10-03,+374 75 219346,vardan.khachatryan93@yahoo.com
94,Lena,Stepanyan,F,1967-09-07,59,Kapan,WIDOWED,0,SELF_EMPLOYED,430000,17352710,2021-06-17,+374 10 314353,lena.stepanyan94@yahoo.com
95,Gor,Abrahamyan,M,1997-01-04,29,Kapan,MARRIED,0,EMPLOYED,720000,40884937,2022-10-30,+374 74 685864,gor.abrahamyan95@yahoo.com
96,Raffi,Petrosyan,M,1975-02-09,51,Kapan,SINGLE,1,EMPLOYED,530000,64362516,2022-10-25,+374 12 440544,raffi.petrosyan96@mail.ru
97,Mariam,Sargsyan,F,1998-05-05,28,Kapan,DIVORCED,1,EMPLOYED,660000,55568701,2022-06-29,+374 38 449247,mariam.sargsyan97@mail.ru
98,Ruben,Muradyan,M,1972-04-09,54,Vanadzor,SINGLE,2,EMPLOYED,570000,29655410,2021-12-09,+374 42 306854,ruben.muradyan98@mail.ru
99,Hayk,Hovhannisyan,M,1951-08-26,75,Dilijan,MARRIED,1,RETIRED,180000,93821894,2023-01-13,+374 51 757685,hayk.hovhannisyan99@yahoo.com
100,Levon,Sargsyan,M,1964-06-04,62,Gyumri,SINGLE,1,EMPLOYED,490000,70654852,2018-08-19,+374 14 159653,levon.sargsyan100@yahoo.com
101,Nare,Muradyan,F,2007-11-11,19,Kapan,MARRIED,0,STUDENT,130000,84399083,2023-09-08,+374 15 571579,nare.muradyan101@mail.ru
102,Gayane,Martirosyan,F,2001-08-19,25,Gyumri,MARRIED,3,EMPLOYED,310000,33160465,2021-11-07,+374 15 359778,gayane.martirosyan102@yandex.ru
103,Suzanna,Simonyan,F,1981-07-10,45,Hrazdan,MARRIED,1,EMPLOYED,500000,17028380,2022-05-06,+374 90 778748,suzanna.simonyan103@yahoo.com
104,Suren,Grigoryan,M,1980-05-25,46,Dilijan,MARRIED,1,EMPLOYED,460000,56952151,2019-09-08,+374 49 787923,suren.grigoryan104@yandex.ru
105,Edgar,Baghdasaryan,M,1957-10-14,69,Sevan,SINGLE,2,RETIRED,130000,99987086,2021-09-07,+374 64 633188,edgar.baghdasaryan105@yahoo.com
106,Gegham,Stepanyan,M,1991-06-24,35,Vanadzor,SINGLE,0,EMPLOYED,710000,49700543,2020-02-26,+374 22 632351,gegham.stepanyan106@gmail.com
107,Gayane,Mkrtchyan,F,1995-03-25,31,Yerevan,MARRIED,2,EMPLOYED,390000,41880763,2019-11-10,+374 66 740255,gayane.mkrtchyan107@yahoo.com
108,Karine,Poghosyan,F,1974-04-10,52,Abovyan,MARRIED,1,EMPLOYED,590000,77498993,2022-12-10,+374 77 538997,karine.poghosyan108@mail.ru
109,Edgar,Mkrtchyan,M,2008-11-24,18,Sevan,DIVORCED,0,STUDENT,110000,79244185,2022-03-01,+374 25 398910,edgar.mkrtchyan109@gmail.com
110,Vahan,Galstyan,M,2006-08-12,20,Gavar,DIVORCED,0,STUDENT,60000,13579612,2020-06-28,+374 63 155843,vahan.galstyan110@yandex.ru
111,Karine,Danielyan,F,1955-04-25,71,Hrazdan,MARRIED,2,RETIRED,80000,28468304,2021-07-29,+374 14 400814,karine.danielyan111@yandex.ru
112,Ashot,Galstyan,M,1999-01-10,27,Sevan,DIVORCED,2,EMPLOYED,470000,91722503,2020-06-02,+374 77 543814,ashot.galstyan112@gmail.com
113,Karine,Stepanyan,F,1989-08-03,37,Gavar,MARRIED,0,EMPLOYED,680000,12205915,2018-09-15,+374 90 640410,karine.stepanyan113@mail.ru
114,Narek,Asatryan,M,1982-05-04,44,Gyumri,MARRIED,0,EMPLOYED,800000,58399417,2022-09-03,+374 18 651613,narek.asatryan114@gmail.com
115,Narine,Petrosyan,F,1981-05-10,45,Hrazdan,SINGLE,2,EMPLOYED,220000,98195059,2022-01-02,+374 90 208699,narine.petrosyan115@yahoo.com
116,Armen,Manukyan,M,1993-12-17,33,Vanadzor,SINGLE,1,EMPLOYED,690000,71428713,2023-05-15,+374 14 407696,armen.manukyan116@mail.ru
117,Artur,Petrosyan,M,1985-09-21,41,Vagharshapat,SINGLE,0,EMPLOYED,620000,16416148,2023-04-24,+374 93 448048,artur.petrosyan117@yahoo.com
118,Gegham,Asatryan,M,2001-07-17,25,Gavar,MARRIED,0,STUDENT,90000,59304469,2020-02-05,+374 76 379676,gegham.asatryan118@gmail.com
119,Nare,Asatryan,F,1993-10-07,33,Hrazdan,MARRIED,0,EMPLOYED,510000,51137177,2021-08-08,+374 67 731894,nare.asatryan119@yandex.ru
120,Levon,Manukyan,M,1982-11-11,44,Yerevan,SINGLE,1,EMPLOYED,660000,95565484,2021-01-29,+374 61 480959,levon.manukyan120@mail.ru
